"","cells","carrier","time","rep","combination","rel_area"
"210","TSCctrl","DMSO","2","4","non_ac",0.5387173535668
"211","TSCctrl","DMSO","2","4","ac12_ac12",0
"212","TSCctrl","DMSO","2","4","ac13_ac13",0.00278095553439019
"213","TSCctrl","DMSO","2","4","ac13_ac*",0.00211238068427095
"214","TSCctrl","DMSO","2","4","ac*_ac13",0.148374160357655
"215","TSCctrl","MK","2","3","ac12_ac*",0.00375732953051971
"216","TSCctrl","MK","2","3","ac*_ac12",0.214620599495028
"217","TSCctrl","MK","2","3","non_ac",0.561757822437887
"218","TSCctrl","MK","2","3","ac12_ac12",0.00964166234264352
"219","TSCctrl","MK","2","3","ac13_ac13",0.00099237805950562
"220","TSCctrl","MK","2","3","ac13_ac*",0.00305861013314159
"221","TSCctrl","MK","2","3","ac*_ac13",0.203848978330714
"222","TSCctrl","MK","2","3","ac12_ac13",0.00125924130914155
"223","TSCctrl","MK","2","3","ac13_ac12",0.00106337836084448
"224","TSCctrl","MK","2","4","ac12_ac*",0.00412616982958108
"225","TSCctrl","MK","2","4","ac*_ac12",0.20572529267102
"226","TSCctrl","MK","2","4","non_ac",0.596661074882233
"227","TSCctrl","MK","2","4","ac12_ac12",0.00543030134342184
"228","TSCctrl","MK","2","4","ac13_ac13",0
"229","TSCctrl","MK","2","4","ac13_ac*",0.00291022120434817
"230","TSCctrl","MK","2","4","ac*_ac13",0.180523705527036
"231","TSCctrl","DMSO","4","3","ac12_ac*",0.00492968911018164
"232","TSCctrl","DMSO","4","3","ac*_ac12",0.182796662991246
"233","TSCctrl","DMSO","4","3","non_ac",0.620837382286595
"234","TSCctrl","DMSO","4","3","ac12_ac12",0.00234052417763687
"235","TSCctrl","DMSO","4","3","ac13_ac13",0.000870281312544812
"236","TSCctrl","DMSO","4","3","ac13_ac*",0.0033249023965411
"237","TSCctrl","DMSO","4","3","ac*_ac13",0.182546130303285
"238","TSCctrl","DMSO","4","4","ac12_ac*",0.00359875218331704
"239","TSCctrl","DMSO","4","4","ac*_ac12",0.182423181186003
"240","TSCctrl","DMSO","4","4","non_ac",0.599373068137557
"241","TSCctrl","DMSO","4","4","ac12_ac12",0.0163654072555824
"242","TSCctrl","DMSO","4","4","ac13_ac13",0.00249884247273982
"243","TSCctrl","DMSO","4","4","ac13_ac*",0.00266123743605158
"244","TSCctrl","DMSO","4","4","ac*_ac13",0.189093518724794
"245","TSCctrl","DMSO","4","4","ac12_ac13",0.00189894108697144
"246","TSCctrl","DMSO","4","4","ac13_ac12",0.00208705152448233
"247","TSCctrl","MK","4","3","ac12_ac*",0.00254522084954113
"248","TSCctrl","MK","4","3","ac*_ac12",0.133636579755198
"249","TSCctrl","MK","4","3","non_ac",0.607153203512997
"250","TSCctrl","MK","4","3","ac12_ac12",0.0027951318399751
"251","TSCctrl","MK","4","3","ac13_ac13",0.00189792438383727
"252","TSCctrl","MK","4","3","ac13_ac*",0.00331522336844248
"253","TSCctrl","MK","4","3","ac*_ac13",0.246112250010297
"254","TSCctrl","DMSO","0.5","3","ac12_ac*",0.01801784049
"255","TSCctrl","DMSO","0.5","3","ac*_ac12",0.9819821595
"256","TSCctrl","DMSO","0.5","3","non_ac",0
"257","TSCctrl","DMSO","0.5","3","ac12_ac12",0
"258","TSCctrl","DMSO","0.5","3","ac13_ac13",0
"259","TSCctrl","DMSO","0.5","3","ac13_ac*",0
"260","TSCctrl","DMSO","0.5","3","ac*_ac13",0
"261","TSCctrl","DMSO","0.5","4","ac12_ac*",0.00731226099578687
"262","TSCctrl","DMSO","0.5","4","ac*_ac12",0.373546876153334
"263","TSCctrl","DMSO","0.5","4","non_ac",0.617769132718757
"264","TSCctrl","DMSO","0.5","4","ac12_ac12",0
"265","TSCctrl","DMSO","0.5","4","ac13_ac13",0
"266","TSCctrl","MK","0.5","3","ac12_ac*",0.00638021728191716
"267","TSCctrl","MK","0.5","3","ac*_ac12",0.363271744200582
"268","TSCctrl","MK","0.5","3","non_ac",0.617909482851204
"269","TSCctrl","MK","0.5","3","ac12_ac12",0.00116244574942574
"270","TSCctrl","MK","0.5","3","ac13_ac13",0
"271","TSCctrl","MK","0.5","4","ac12_ac*",0.00666812544695813
"272","TSCctrl","MK","0.5","4","ac*_ac12",0.384143884664851
"273","TSCctrl","MK","0.5","4","non_ac",0.594281093968762
"274","TSCctrl","MK","0.5","4","ac12_ac12",0
"275","TSCctrl","MK","0.5","4","ac13_ac13",0
"276","TSCctrl","DMSO","6","3","ac12_ac*",0.0043738310986985
"277","TSCctrl","DMSO","6","3","ac*_ac12",0.183475875763032
"278","TSCctrl","DMSO","6","3","non_ac",0.569558177240118
"279","TSCctrl","DMSO","6","3","ac12_ac12",0
"280","TSCctrl","DMSO","6","3","ac13_ac13",0.00135410610869709
"281","TSCctrl","DMSO","6","3","ac13_ac*",0.00378418455582396
"282","TSCctrl","DMSO","6","3","ac*_ac13",0.231335744533955
"283","TSCctrl","DMSO","6","4","ac12_ac*",0.0039970015218992
"284","TSCctrl","DMSO","6","4","ac*_ac12",0.17836611453782
"285","TSCctrl","DMSO","6","4","non_ac",0.56610016198948
"286","TSCctrl","DMSO","6","4","ac12_ac12",0.0181598932969386
"287","TSCctrl","DMSO","6","4","ac13_ac13",0.0101697864729493
"288","TSCctrl","DMSO","6","4","ac13_ac*",0.00444208240558782
"289","TSCctrl","DMSO","6","4","ac*_ac13",0.218764959780387
"290","TSCctrl","DMSO","6","4","ac12_ac13",0
"291","TSCctrl","DMSO","6","4","ac13_ac12",0
"292","TSCctrl","MK","6","3","ac12_ac*",0.00265971546738978
"293","TSCctrl","MK","6","3","ac*_ac12",0.12934524776015
"294","TSCctrl","MK","6","3","non_ac",0.528860255786796
"295","TSCctrl","MK","6","3","ac12_ac12",0.0138778819647524
"296","TSCctrl","MK","6","3","ac13_ac13",0.00683158945121635
"297","TSCctrl","MK","6","3","ac13_ac*",0.00636991649935081
"298","TSCctrl","MK","6","3","ac*_ac13",0.310456966145476
"299","TSCctrl","MK","6","3","ac12_ac13",0.000886984709773414
"300","TSCctrl","MK","6","3","ac13_ac12",0.000711442210078961
"301","TSCctrl","MK","4","4","non_ac",0.606067529140527
"302","TSCctrl","MK","4","4","ac12_ac12",0
"303","TSCctrl","MK","4","4","ac13_ac13",0.0018346970899344
"304","TSCctrl","MK","4","4","ac13_ac*",0.00435396394153715
"305","TSCctrl","MK","4","4","ac*_ac13",0.242127721531973
"306","TSCctrl","MK","6","4","non_ac",0.568273963159074
"307","TSCctrl","MK","6","4","ac12_ac12",0
"308","TSCctrl","MK","6","4","ac13_ac13",0.0051427144287576
